"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","gene"
"17",-0.0163979992682406,-0.0317410774923597,-0.0131515955913974,-0.00445405659817364,-0.0144991795994799,0.00675427719671247,-0.00457257668236438,-0.025032467961081,-0.00828605911544043,-0.0173957059377666,"Fbn1"
"18",-0.0162797064722494,-0.0220997515374071,0.0131744543039299,-0.0045733263465198,-0.0219070288828055,0.0169093634471648,0.020811814915069,0.0100455107806461,-0.0108209588937386,0.0135828766107673,"Dpp4"
"19",-0.0159262476117536,-0.0274432977043636,-0.00945348445391628,-0.00271174702918813,0.00442206401882237,-0.00906536423122891,-0.0213665401204254,-0.023959907008436,0.00528031287379196,-0.0330652830605993,"Cav1"
"20",-0.0156690137824749,-0.0196174981663955,-0.000378485390942791,0.00786661061045978,-0.017064987611081,-0.00867746099029216,0.0226964710518314,-0.0274038261582133,-0.000721944039293681,0.0105430428426487,"Rbms3"
"21",-0.0156268709835053,-0.0312351920425095,-0.0136984057718715,-0.0256451104111251,0.00797612416245842,0.00687240020200433,0.0129251633960714,-0.013292524489274,-0.0149376979796179,-0.0194120860310118,"P4ha3"
"22",-0.0154058695740033,-0.0493031099231864,-0.00459902717915827,-0.0136883237908322,-0.0371801679459651,0.0138042424480819,-0.013128560659607,-0.0128066619803317,0.0127768185616714,-0.0024948572272119,"Rasgef1b"
"23",-0.0151908838264715,-0.0223678197833857,-0.0265863338407206,-0.00958280069690754,-0.00430788209790705,0.00936277301156081,-0.00427492839754015,-0.0427388823235277,-0.00647884155028935,-0.0158493191507874,"Gja4"
"24",-0.0148405209153929,-0.00712371003106879,0.0211491683707326,-0.0368417793517386,0.0386494771565658,0.0172249392242387,-0.0139972889269918,-0.000440321383489637,-0.0423540448282784,0.000726507852978974,"Ctgf"
"25",-0.0145378033119178,-0.0157568073148124,0.00828985557728492,-0.015925958627967,-0.00841834135398573,0.000158955175220134,-0.00150121422685559,0.0100941604847445,0.00539051469080699,-0.0107389201534962,"Ptprb"
"26",-0.0144760399517354,-0.00572269701169589,0.0209969660665333,0.00174980875065509,0.0439754068433508,0.000775824540463375,0.00133517592136767,-0.0241617255749943,-0.014322756574975,-0.013229995433994,"Abca1"
"27",-0.0139449029422671,-0.0246578970078453,0.0116834235720412,-0.0107575119951074,-0.00523396371081894,0.00693743400721096,-0.0204232550368227,-0.00679674771260833,0.00813315514912105,9.49793647990842e-05,"Calcrl"
"28",-0.0138942632899152,-0.0235408366695525,0.00310299342263325,0.00133358507288716,0.00509431418098009,0.00544868230998073,0.008490243924039,0.0114975418194042,-0.0113857307498957,0.00902922894406521,"Apoe"
"29",-0.0138922576782917,-0.0299657440525131,0.0104755442955749,0.0297555191832544,-0.00103010779538845,0.000889443681562554,0.00649752871317806,-0.00224961016897678,-0.0104374920006352,-0.00532483547745614,"Kdm5b"
"30",-0.013446638821167,-0.0371329926246619,0.0360289900018324,-0.0117225868290757,0.00574944534129476,-0.00409341519910893,0.0102440577101911,0.00842477143362243,-0.0282504628148067,-0.00615487416334465,"Gpm6a"
"31",-0.0132736754082505,-0.0266997655393753,-0.0230156949458682,-0.0189529695922305,0.00875414788529233,0.010836903758829,0.020695566619252,-0.0125225193020124,-0.0179861995538825,-0.00362897792898312,"Ephx2"
"32",-0.0130559809907172,-0.0370347485341774,-0.0106544382249083,-0.00493985349521392,0.00134737195823098,0.0261657153752561,-0.0135883587236937,-0.00651952809050197,-0.00578486241298819,-0.0395821200798015,"Pdlim3"
"33",-0.0125866398964021,-0.0124044272461573,0.0125097173033049,-0.0140207500257153,0.0300393985239614,0.0110303794973111,-0.00508258103694632,-0.0146314816993648,-0.0166528188471694,0.000689189236421412,"Ypel2"
"34",-0.0125805424629233,-0.0121598326135632,0.0256870855949401,0.00446089291470033,0.0196346289565174,0.00858740384736665,0.0215948282534183,0.00949162676741439,-0.00775893674843909,0.00839791501976959,"Sepp1"
"35",-0.0125247256855986,-0.0114204633366562,-0.00387836175403602,0.00614958181959015,-0.0216238009104114,0.0182789911161223,-0.00021323978572901,-0.00123971462957393,0.00259889218361687,-0.0194786476849674,"Unc45b"
"36",-0.0124229116918433,-0.0210429263320225,0.0152364981722863,-0.00770848975679379,0.0287687603249662,0.00688475057524803,0.00271627388317883,0.00301100518004313,0.00496807552376473,0.0143882866935823,"Pcmtd2"
"37",-0.0122851404743598,-0.0157691351195853,-0.030319046712561,-0.00250807108003826,-0.0167414530172399,0.0157343391311008,-0.00550545547129157,0.0105794550731288,-0.0100825471929939,-0.00117363007329935,"Col14a1"
"38",-0.012236290744666,-0.0266279277340423,0.0207818847698637,0.00740044017912465,0.0148177573301544,0.00430975296986506,0.0125283395506396,0.00253371888428978,-0.0104938929167603,0.0011032929375586,"Calcoco1"
"39",-0.0122347786241997,-0.0454219863016095,0.00610798410768571,0.00075421887242377,0.00592627276500492,-0.00402154224861027,-0.00807237545627024,0.0151708014476178,0.00807889919642299,0.0244194834733032,"Tspan7"
"40",-0.0119582338683591,-0.0268032827537677,-0.022606147006605,0.00191286603248912,0.00521736762460427,0.0021843702184356,-0.00313866540478449,-0.0137257099352414,0.0224066134293589,-0.0211929589415439,"Cav2"
"41",-0.0119444504477935,-0.00878011264804051,-0.010987051036382,0.0037311805338321,0.0045823837040644,0.00340875469204979,-0.0101873982787523,-0.0251657649531665,0.0134288159803853,-0.0383482314371781,"Ctsh"
"42",-0.011593546617732,-0.0218421165989927,0.01033713272247,0.00294700630333513,0.0224564808930917,-0.00552317277219523,0.0215568324763151,0.0252143529330994,0.00946457414349666,0.0249919080996222,"Fcgrt"
"43",-0.0115878853738156,-0.0414473841370186,-0.046443789224,-0.00728142891300666,0.0342340665501523,-0.00444231542055339,0.00562226362495021,-0.0350380610850084,-0.00207501637870212,-0.000591032455512569,"Cd24a"
"44",-0.0115663856098299,-0.0228816721313981,0.00672028721400466,0.00124126791891033,-0.0172648980718015,-0.00574067218812168,0.00957264393689472,0.00622536124211315,-0.00643066227099583,0.000919151138521507,"Tcf7l2"
"45",-0.0115659750505001,-0.0195866529831796,0.0213145775158218,-0.00728269352030318,-0.00800131912812207,-0.00500862256508665,-0.00406215515241739,0.00038860252865416,-0.00463967554388305,0.0220433775492944,"Rbm5"
"46",-0.011417749929554,-0.00930543501149433,0.0235889785433182,0.00586002907136024,0.0146833857204,-0.000546757811986827,-0.0013642289782616,0.00467066551322032,0.0106847917494979,0.0153306153376933,"Casp6"
"47",-0.0112191722122714,-0.0264822514265235,-0.0144791905114941,-0.0100697336574807,0.0014232353700157,-0.00892658404018162,0.0160757591733804,0.00379295140890863,-0.0283595437305668,-0.0202995105146814,"Pnoc"
"48",-0.0111828591871896,-0.00870402484567378,0.0130955152035176,0.00717718525081349,-0.00719676906833847,0.00702578677753827,0.0131727130517501,-0.0056584163713557,-0.0180136992823919,-0.00749660821630063,"Man2b2"
"49",-0.0109608608669878,-0.000796949112577384,0.0527094625166014,0.00796659854436281,0.0327771292962422,-0.0105888741134418,0.0342085827744336,-0.0253854189439854,-0.0365800490316439,-0.0475911333098539,"Sparcl1"
"50",-0.0109317756919662,-0.0180191126116972,0.00104920116602548,-0.0020229358858762,-0.00275366056975982,0.00407805929321768,-0.00734199637826818,0.00624196101198811,-0.00802167910774385,-0.00349821305410846,"Nr2f2"
"51",-0.0107606087379255,-0.0372036710987905,-0.0466794146389364,-0.029323731133423,-0.0233313759071662,-0.000458521184890995,0.0221542505341614,-0.0414110610436209,0.0226807163674926,-0.0506290649108254,"Fbln2"
"52",-0.0106863745275534,-0.0315856957782188,-0.0023768580245079,-0.0182720579563395,0.0140904225710499,0.00592604747812891,-0.0110892538789803,-0.00550749098654314,-0.0167499696742281,-0.00172495940192437,"Art4"
"53",-0.0106659555890169,-0.0173888270789308,0.00233708799644428,-0.0110938540022129,0.00431851185684359,-0.00602276809486099,0.00315699558189694,-0.00199585375544471,-0.0106880897985088,0.0195625234091854,"Pde7b"
"54",-0.0105797538880251,-0.0653979992077214,0.00744331526824179,-0.0444838033453398,0.00280565336729481,0.0120734515336964,-0.0133169067096738,0.0358061521879928,-0.0187375741762292,0.00684796770820933,"Lifr"
