"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","subtype","subtype_color"
"293","p7","fv1_NS_p7c9r8_J16",5570,1173994,233534,217377,6505,472196,410952,82,16625,"#ABDDA4",0.198922652074883,639945678,0.00146686438499988,"CV","#F8766D","Endocardial","#1B9E77"
"294","p8","fv1_NS_p8c10r2_B18",4002,254698,13557,48673,2417,204133,169066,27,6271,"#66C2A5",0.0532277442304219,639945678,0.000376661193897343,"CV","#F8766D","Endocardial","#1B9E77"
"295","p8","fv1_NS_p8c10r3_N18",4295,247775,27242,57145,2032,225661,148205,24,6919,"#66C2A5",0.109946524064171,639945678,0.000344474963847707,"CV","#F8766D","Endocardial","#1B9E77"
"296","p8","fv1_NS_p8c10r4_J19",7089,591977,57003,105736,4191,315090,221814,52,3491,"#66C2A5",0.0962925924486931,639945678,0.000835190687344278,"CV","#F8766D","Endocardial","#1B9E77"
"297","p8","fv1_NS_p8c10r6_B21",4904,392041,42388,70980,3237,279737,197602,28,8408,"#66C2A5",0.108121344451218,639945678,0.000546037502620833,"CV","#F8766D","SVv","#E7298A"
"298","p8","fv1_NS_p8c10r7_N21",4403,247334,32505,52481,1503,209425,238389,18,4183,"#66C2A5",0.131421478648306,639945678,0.000335566918564845,"CV","#F8766D","Endocardial","#1B9E77"
"299","p8","fv1_NS_p8c1r4_A19",4601,306455,13911,61002,2098,197612,124811,32,5432,"#66C2A5",0.0453932877583985,639945678,0.000456916116250761,"CV","#F8766D","Endocardial","#1B9E77"
"300","p8","fv1_NS_p8c1r5_M19",4400,256475,20332,51880,2077,178176,169634,17,5776,"#66C2A5",0.0792747831172629,639945678,0.000368853600999364,"CV","#F8766D","Mesenchymal.2","#7570B3"
"301","p8","fv1_NS_p8c1r6_I20",4041,160628,34197,59591,1319,228258,143724,16,4720,"#66C2A5",0.212895634634061,639945678,0.000197514173111535,"CV","#F8766D","Endocardial","#1B9E77"
"302","p8","fv1_NS_p8c3r6_K20",4257,295748,33287,56688,2693,243379,178865,19,8510,"#66C2A5",0.112551902295197,639945678,0.000409935222547175,"CV","#F8766D","Endocardial","#1B9E77"
"303","p8","fv1_NS_p8c3r8_C22",4084,183042,17382,43911,1226,175894,198784,23,5129,"#66C2A5",0.0949618120431376,639945678,0.000258789626980005,"CV","#F8766D","Mesenchymal.2","#7570B3"
"304","p8","fv1_NS_p8c4r2_L17",5964,374000,29740,73557,3624,269499,203842,25,4453,"#66C2A5",0.0795187165775401,639945678,0.00053763396275941,"CV","#F8766D","Mesenchymal.2","#7570B3"
"305","p8","fv1_NS_p8c4r3_H18",4797,230474,25794,43175,1487,197423,173222,21,3728,"#66C2A5",0.111917179378151,639945678,0.000319722637956099,"CV","#F8766D","SVv","#E7298A"
"306","p8","fv1_NS_p8c4r6_L20",6099,333384,40935,67953,2324,305139,171646,35,4840,"#66C2A5",0.122786336476856,639945678,0.000456748950093067,"CV","#F8766D","Venous.Valve.2","#E6AB02"
"307","p8","fv1_NS_p8c5r7_I21",4630,239459,28166,46099,1103,244689,220307,27,4119,"#66C2A5",0.11762347625272,639945678,0.000330047713265613,"CV","#F8766D","SVv","#E7298A"
"308","p8","fv1_NS_p8c6r7_J21",4853,179903,19260,38689,1404,137813,214173,14,4257,"#66C2A5",0.107057692200797,639945678,0.0002509537760369,"CV","#F8766D","Endocardial","#1B9E77"
"309","p8","fv1_NS_p8c7r1_C17",5309,393826,31263,78651,2958,275091,178116,37,8987,"#66C2A5",0.0793827731028424,639945678,0.000566196383837481,"CV","#F8766D","Endocardial","#1B9E77"
"310","p8","fv1_NS_p8c7r3_K18",4312,220582,23238,52676,1328,193465,139226,20,6482,"#66C2A5",0.105348577853134,639945678,0.00030826679590179,"CV","#F8766D","Mesenchymal.2","#7570B3"
"311","p8","fv1_NS_p8c7r5_C20",4158,263439,28515,67509,2821,239910,125990,36,7722,"#66C2A5",0.108241376561557,639945678,0.000366944425215232,"CV","#F8766D","Endocardial","#1B9E77"
"312","p8","fv1_NS_p8c8r3_L18",5950,340648,45193,67405,2086,227992,141929,26,3597,"#66C2A5",0.132667739132477,639945678,0.000461439403287356,"CV","#F8766D","Venous.Valve.2","#E6AB02"
"313","p8","fv1_NS_p8c9r5_E20",5069,243033,22030,47091,2124,195612,104874,27,5498,"#66C2A5",0.0906461262462299,639945678,0.000345212432248054,"CV","#F8766D","Endocardial","#1B9E77"
"314","p9","fv1_NS_p9c10r1_E23",4874,265993,20270,53037,2108,136485,115451,27,4704,"#3288BD",0.0762050129138737,639945678,0.000383812425916119,"CV","#F8766D","SVv","#E7298A"
"315","p9","fv1_NS_p9c10r4_I05",4902,390714,35331,66846,2254,276708,205591,3,9335,"#3288BD",0.0904267571676469,639945678,0.000554986134857161,"CV","#F8766D","Endocardial","#1B9E77"
"316","p9","fv1_NS_p9c11r2_B24",3949,104417,12150,24788,783,78121,96898,14,3680,"#3288BD",0.116360362776176,639945678,0.00014415507509502,"CV","#F8766D","Venous.Valve.2","#E6AB02"
